# TM102 capture — label=buzz-1 port=/dev/cu.usbserial-0001 started=20260826-132616
[CH: 50] LEN: 12 | HEX: F9 7F FE FD ED 70 EE F5 92 9D AA BF | T:381606 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 EA FD FA 73 BB EF 25 1C AF FF | T:381618 RPD:1
[CH: 50] LEN: 12 | HEX: F1 6F FE ED FD 70 FD FB 52 9E BC F7 | T:381618 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 76 FE FE 70 FF 7B 52 9D BE F7 | T:381629 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 F6 FD EE 70 FD 7F 92 9C BE BF | T:381640 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 7E F7 D4 7B BF BF 25 1C BF AF | T:381641 RPD:1
[CH: 50] LEN: 12 | HEX: FD 77 AE EE F7 78 F7 FB 92 9F BF FF | T:381652 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 7E ED DE 73 BF AF 25 1E AD 77 | T:381652 RPD:0
[CH: 50] LEN: 12 | HEX: E9 77 BA FD FE 70 FD FF 52 9D AF FB | T:381664 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 FE FD DE 73 BB F7 25 1C AF F5 | T:381675 RPD:1
[CH: 50] LEN: 12 | HEX: D9 77 6A FE DE 70 FD F7 92 9C BF 7F | T:381675 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 F6 FD FA 73 DB EE 25 1C BD ED | T:381686 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 F6 FD FA 73 F5 FD 25 1C AB FF | T:381687 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 7A FF FD 70 EF FA 92 9E BF FD | T:381698 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 7E EC F6 70 F7 FD 92 9C B7 F7 | T:381698 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 76 ED EE 7B FB EF 25 1C BF F7 | T:381709 RPD:1
[CH: 50] LEN: 12 | HEX: FD 77 FD FD FA 73 FB EF 25 1C BF FB | T:381721 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 76 EE FE 70 FF 7D 92 9C AF FF | T:381721 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 76 FD F6 70 F7 FD 12 9C AF FF | T:381732 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 FA FE FE 70 FE BF 12 9E BE AF | T:381733 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 FE ED EE 73 AF FB 25 1E BF DD | T:381744 RPD:1
